
Speed
 ==================== 
Speed,Unit,Category,Time,TrackID,ID,
0.07282,,Spot,126,1000180357,180357,
0.852567,,Spot,127,1000180357,180358,
1.71976,,Spot,128,1000180357,180359,
1.65909,,Spot,200,1000180364,180364,
0.625231,,Spot,201,1000180364,180365,
2.72142,,Spot,202,1000180364,180366,
0.187437,,Spot,195,1000180367,180367,
0.544484,,Spot,196,1000180367,180368,
0.352176,,Spot,197,1000180367,180369,
0.73782,,Spot,198,1000180367,180370,
0.281402,,Spot,199,1000180367,180371,
0.300094,,Spot,200,1000180367,180372,
0.668912,,Spot,201,1000180367,180373,
1.14243,,Spot,202,1000180367,180374,
0.552277,,Spot,237,1000180375,180375,
0.552277,,Spot,238,1000180375,180376,
0.994276,,Spot,241,1000180377,180377,
0.54283,,Spot,242,1000180377,180378,
0.898002,,Spot,243,1000180377,180379,
1.44071,,Spot,302,1000180380,180380,
0.458276,,Spot,303,1000180380,180381,
0.40632,,Spot,304,1000180380,180382,
0.271241,,Spot,305,1000180380,180383,
0.652972,,Spot,306,1000180380,180384,
0.7577,,Spot,307,1000180380,180385,
0.564824,,Spot,308,1000180380,180386,
1.27511,,Spot,309,1000180380,180387,
2.20349,,Spot,310,1000180380,180388,
