
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
244,,Spot,1,Image 1,16,1000099590,99590,
255,,Spot,1,Image 1,17,1000099590,99591,
247,,Spot,1,Image 1,18,1000099590,99592,
243,,Spot,1,Image 1,19,1000099590,99593,
231,,Spot,1,Image 1,30,1000099594,99594,
230,,Spot,1,Image 1,31,1000099594,99595,
224,,Spot,1,Image 1,32,1000099594,99596,
221,,Spot,1,Image 1,33,1000099594,99597,
236,,Spot,1,Image 1,38,1000099598,99598,
230,,Spot,1,Image 1,39,1000099598,99599,
247,,Spot,1,Image 1,40,1000099598,99600,
225,,Spot,1,Image 1,41,1000099598,99601,
232,,Spot,1,Image 1,75,1000099602,99602,
232,,Spot,1,Image 1,76,1000099602,99603,
239,,Spot,1,Image 1,77,1000099602,99604,
227,,Spot,1,Image 1,78,1000099602,99605,
234,,Spot,1,Image 1,79,1000099602,99606,
225,,Spot,1,Image 1,80,1000099602,99607,
240,,Spot,1,Image 1,81,1000099602,99608,
236,,Spot,1,Image 1,157,1000099609,99609,
236,,Spot,1,Image 1,158,1000099609,99610,
233,,Spot,1,Image 1,159,1000099609,99611,
233,,Spot,1,Image 1,160,1000099609,99612,
230,,Spot,1,Image 1,161,1000099609,99613,
245,,Spot,1,Image 1,162,1000099609,99614,
253,,Spot,1,Image 1,186,1000099615,99615,
245,,Spot,1,Image 1,187,1000099615,99616,
236,,Spot,1,Image 1,188,1000099615,99617,
243,,Spot,1,Image 1,189,1000099615,99618,
236,,Spot,1,Image 1,328,1000099619,99619,
258,,Spot,1,Image 1,332,1000099619,99623,
227,,Spot,1,Image 1,380,1000099629,99629,
231,,Spot,1,Image 1,381,1000099629,99630,
223,,Spot,1,Image 1,382,1000099629,99631,
229,,Spot,1,Image 1,383,1000099629,99632,
234,,Spot,1,Image 1,384,1000099629,99633,
234,,Spot,1,Image 1,329,1000099619,99634,
226,,Spot,1,Image 1,330,1000099619,99635,
254,,Spot,1,Image 1,331,1000099619,99636,
242,,Spot,1,Image 1,368,1000099637,99637,
228,,Spot,1,Image 1,369,1000099637,99638,
246,,Spot,1,Image 1,247,1000099640,99640,
262,,Spot,1,Image 1,248,1000099640,99641,
276,,Spot,1,Image 1,249,1000099640,99642,
247,,Spot,1,Image 1,250,1000099640,99643,
265,,Spot,1,Image 1,251,1000099640,99644,
236,,Spot,1,Image 1,135,1000099652,99652,
237,,Spot,1,Image 1,136,1000099652,99653,
238,,Spot,1,Image 1,137,1000099652,99654,
232,,Spot,1,Image 1,138,1000099652,99655,
248,,Spot,1,Image 1,4,1000099657,99657,
246,,Spot,1,Image 1,5,1000099657,99658,
239,,Spot,1,Image 1,6,1000099657,99659,
228,,Spot,1,Image 1,301,1000099660,99660,
231,,Spot,1,Image 1,302,1000099660,99661,
229,,Spot,1,Image 1,303,1000099660,99662,
